project_type,discovery_path,remediation_actions,repair_lag_days,clean_body_len
Traditional,Official_Advisory,Config_Hardening,0,54
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2798
AI-Agent,Silent_Commit,Logic_Patching,7,1127
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6833
AI-Agent,Silent_Commit,Config_Hardening|Semantic_Alignment,0,3733
Traditional,Silent_Commit,Logic_Patching|Defensive_Doc,0,1738
Traditional,Silent_Commit,Logic_Patching,12,1423
Traditional,Silent_Commit,Semantic_Alignment,0,258
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,1,1354
Traditional,Silent_Commit,Logic_Patching,0,1143
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,7689
Traditional,Silent_Commit,Standard_Fix,0,761
Traditional,Silent_Commit,Config_Hardening,0,729
Traditional,Silent_Commit,Logic_Patching|Defensive_Doc,0,1129
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,565
Traditional,Silent_Commit,Config_Hardening,0,1059
Traditional,Silent_Commit,Config_Hardening,0,1054
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,3793
Traditional,Silent_Commit,Logic_Patching,11,896
Traditional,Silent_Commit,Logic_Patching,9,694
Traditional,Silent_Commit,Logic_Patching,8,894
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,1089
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,6463
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5877
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,2,2090
Traditional,Silent_Commit,Logic_Patching,15,680
Traditional,Official_Advisory,Config_Hardening,0,826
Traditional,Silent_Commit,Logic_Patching,0,1050
Traditional,Silent_Commit,Logic_Patching,10,653
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,872
Traditional,Silent_Commit,Config_Hardening,2,1614
Traditional,Silent_Commit,Config_Hardening,2,1719
Traditional,Silent_Commit,Standard_Fix,14,612
Traditional,Silent_Commit,Logic_Patching,0,787
Traditional,Silent_Commit,Config_Hardening,0,1818
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,5,3729
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,2139
Traditional,Silent_Commit,Logic_Patching,6,726
Traditional,Silent_Commit,Semantic_Alignment,0,383
Traditional,Silent_Commit,Logic_Patching,26,881
Traditional,Official_Advisory,Config_Hardening,0,834
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,2296
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6198
Traditional,Silent_Commit,Config_Hardening,0,1862
Traditional,Silent_Commit,Config_Hardening,3,737
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,1,2257
Traditional,Silent_Commit,Logic_Patching|Defensive_Doc,0,2424
Traditional,Silent_Commit,Config_Hardening,2,1437
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,5027
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,2112
Traditional,Silent_Commit,Config_Hardening,0,926
Traditional,Silent_Commit,Semantic_Alignment,0,405
Traditional,Silent_Commit,Logic_Patching,22,774
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2785
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,1464
Traditional,Silent_Commit,Logic_Patching,4,852
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2632
Traditional,Silent_Commit,Standard_Fix,0,9
Traditional,Silent_Commit,Logic_Patching,27,843
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,3224
Traditional,Silent_Commit,Logic_Patching|Defensive_Doc,0,481
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching,0,697
Traditional,Silent_Commit,Config_Hardening,0,1086
Traditional,Silent_Commit,Logic_Patching,33,748
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,1106
Traditional,Silent_Commit,Standard_Fix,17,674
