repo,type,number,title,labels,created_at,url,body
Asvix-04/Medibot-AI,issues,15,Validation of the medical datasets,"['good first issue', 'help wanted']",2025-06-20T07:11:25Z,https://github.com/Asvix-04/Medibot-AI/issues/15,The medical datasets that we're using right now needs a validation of its authenticity and accuracy. 
DavidOsherdiagnostica/israel-drugs-mcp-server,issues,4,Add MseeP.ai badge,[],2025-09-07T07:03:39Z,https://github.com/DavidOsherdiagnostica/israel-drugs-mcp-server/pull/4,"Hi there,

This pull request shares a security update on israel-drugs-mcp-server.

We also have an entry for israel-drugs-mcp-server in our directory, MseeP.ai, where we provide regular security and trust updates on your app.

We invite you to add our badge for your MCP server to your README to help your users learn from a third party that provides ongoing validation of israel-drugs-mcp-server.

You can easily take control over your listing for free: visit it at https://mseep.ai/app/davidosherdi"
FGA-DIKU/BONSAI,issues,307,Trainer saves best model metrics on every epoch,"['🔴bug', '🚨priority: high', 'effort: small']",2025-07-14T01:41:32Z,https://github.com/FGA-DIKU/BONSAI/issues/307,"In the [trainer.py](https://github.com/FGA-DIKU/EHR/blob/23c0f5408b9e3bc377a460435edc5f60af0b579a/corebehrt/modules/trainer/trainer.py#L437) file, the saving of metrics and curves using best_model_id is currently performed after every epoch, regardless of whether the monitored metric has improved. This leads to misleadingly updating the ""best model"" artifacts even when the model has not improved.

Expected behavior:

Metrics, curves, and related artifacts associated with best_model_id should onl"
FGA-DIKU/BONSAI,issues,306,remove final separator token if present,[],2025-07-09T13:34:19Z,https://github.com/FGA-DIKU/BONSAI/pull/306,"When censoring if there exists a separator token as the last entry, then this leaks that the patient comes in after censoring

<!-- This is an auto-generated comment: release notes by coderabbit.ai -->
## Summary by CodeRabbit

* **Bug Fixes**
  * Improved handling of patient data by ensuring that any trailing separator tokens are removed after censoring, leading to cleaner and more accurate data processing.
<!-- end of auto-generated comment: release notes by coderabbit.ai -->"
FGA-DIKU/BONSAI,issues,302,Add positional encoding to associate lab codes with corresponding values,"['🌟feature', '🐞minor-bug']",2025-06-26T09:17:43Z,https://github.com/FGA-DIKU/BONSAI/issues/302,"The attention mechanism in transformers treats all tokens as equally related, without any built-in notion of which tokens are ""next to"" each other. This makes it difficult for the model to understand which lab value corresponds to which lab code.

Proposal:

Introduce an additional positional or relational encoding to explicitly link each lab value with its corresponding lab code, through a shared embedding.
"
FGA-DIKU/BONSAI,issues,299,Exclude nan is removing events on additional columns,"['🔴bug', '🚨priority: high', 'effort: small']",2025-06-24T09:22:53Z,https://github.com/FGA-DIKU/BONSAI/issues/299,"Description:
In some cases, the MEDS table contains additional columns that include None or NaN values not relevant to feature creation. These extra columns can unintentionally cause rows to be dropped when applying NaN filtering.

To address this, we now restrict the concepts DataFrame to only the relevant columns — subject_id, time, and code — before processing. This ensures that NaN filtering is applied only where appropriate and prevents accidental loss of valid events.

Solution:
Filter to "
FGA-DIKU/BONSAI,issues,297,Ensure birthdate token is present,"['🔴bug', '🚨priority: high', 'effort: medium']",2025-06-23T18:09:03Z,https://github.com/FGA-DIKU/BONSAI/issues/297,"If ""birthdate"" is missing in MEDS, data creation continues without error, leading to incorrect [background sequence](https://github.com/FGA-DIKU/EHR/blob/65191eba9566cb041e19334306517074bf5968b1/corebehrt/functional/features/creators.py#L157) and possible censoring failures.

Suggestion:

Add a check for ""birthdate"" during data creation.

Also, allow specifying required background codes (e.g., ""gender"") via config or enforce presence of at least one ""BG_"" code."
FGA-DIKU/BONSAI,issues,296,`inference_loop` crashes on tensor shape mismatch when sequences have variable lengths,"['🔴bug', '🐞minor-bug']",2025-06-23T08:28:46Z,https://github.com/FGA-DIKU/BONSAI/issues/296,"### Description
During evaluation (`evaluate_finetune.py`), `inference_loop` crashes with a `RuntimeError` when sequences in the dataset have different lengths:
RuntimeError: Sizes of tensors must match except in dimension 0. Expected size 512 but got size 440



### Suggestion fix:

```
def pad_patient(patient, max_length):   # for me for instance max_length=512 
    pad_fields = {
        ""concepts"": 0,
        ""segments"": 0,
        ""ages"": 0.0,
        ""abspos"": 0.0,
    }
    for field, pad"
FGA-DIKU/BONSAI,issues,295,log_metrics fails when metric keys are not strings,"['🔴bug', '🐞minor-bug']",2025-06-23T08:05:02Z,https://github.com/FGA-DIKU/BONSAI/issues/295,"### Description

When calling `log_metrics(metrics_dict)`, if any of the keys in the dict are not strings (or even if they are, but not handled correctly), the following error is raised:

TypeError: can only concatenate str (not ""dict"") to str


### Expected Behavior
Either:

-Validate keys before attempting string concatenation.
Or
-iterate through the metrics dictionary and log each key-value pair separately

**Suggested fix:**

def log_metrics(metrics: dict, step: int = None):
    run, prefix"
FGA-DIKU/BONSAI,issues,290,Bug: Patients info constant incorrectlyt specified,"['🎓good first issue', '🐞minor-bug', 'effort: small']",2025-06-07T07:24:46Z,https://github.com/FGA-DIKU/BONSAI/issues/290,"The patients_info_format defined in: 
https://github.com/FGA-DIKU/EHR/blob/996cdf55904104d15fe0a40131908d5a2b1aa1ff/corebehrt/constants/paths.py#L29
and used in 
https://github.com/FGA-DIKU/EHR/blob/996cdf55904104d15fe0a40131908d5a2b1aa1ff/corebehrt/modules/features/loader.py#L36
is different from the patient info file name
https://github.com/FGA-DIKU/EHR/blob/996cdf55904104d15fe0a40131908d5a2b1aa1ff/corebehrt/main/helper/create_data.py#L127
The bug is silent because the patients_info inside Con"
