repo,date,cwe,severity,year
Asvix-04/Medibot-AI,2025-06-20 07:11:25+00:00,CWE-287 (认证问题),Medium,2025
Chesterguan/psdl-inspector,2025-12-15 18:58:51+00:00,CWE-502 (反序列化),High,2025
DCDmllm/HealthGPT,2025-06-06 13:57:15+00:00,CWE-287 (认证问题),High,2025
DCDmllm/HealthGPT,2025-06-03 11:52:47+00:00,CWE-287 (认证问题),High,2025
FGA-DIKU/BONSAI,2025-07-15 09:51:55+00:00,CWE-502 (反序列化),Low,2025
FGA-DIKU/BONSAI,2025-06-26 09:21:47+00:00,CWE-200 (信息泄露),Low,2025
FGA-DIKU/BONSAI,2025-05-23 12:01:01+00:00,CWE-200 (信息泄露),Low,2025
FGA-DIKU/BONSAI,2025-05-12 09:56:45+00:00,CWE-502 (反序列化),Medium,2025
FGA-DIKU/BONSAI,2025-03-27 16:34:41+00:00,CWE-200 (信息泄露),Medium,2025
FGA-DIKU/BONSAI,2025-10-08 09:18:11+00:00,CWE-287 (认证问题),High,2025
FGA-DIKU/BONSAI,2025-07-09 13:34:19+00:00,CWE-200 (信息泄露),Medium,2025
FGA-DIKU/BONSAI,2025-05-23 12:20:47+00:00,CWE-502 (反序列化),Low,2025
FGA-DIKU/BONSAI,2025-04-30 14:13:56+00:00,CWE-502 (反序列化),Low,2025
FGA-DIKU/BONSAI,2025-04-29 14:30:05+00:00,CWE-502 (反序列化),Low,2025
FGA-DIKU/BONSAI,2025-04-29 14:19:36+00:00,CWE-200 (信息泄露),Low,2025
FGA-DIKU/BONSAI,2025-03-25 11:20:27+00:00,CWE-502 (反序列化),Medium,2025
FreedomIntelligence/AceGPT,2024-03-11 23:15:32+00:00,CWE-502 (反序列化),Low,2024
FreedomIntelligence/AceGPT,2024-03-08 15:13:52+00:00,CWE-79 (XSS/注入),Medium,2024
FreedomIntelligence/AceGPT,2023-11-24 18:20:16+00:00,CWE-287 (认证问题),Medium,2023
FreedomIntelligence/Apollo,2025-04-09 08:44:18+00:00,CWE-287 (认证问题),Medium,2025
FreedomIntelligence/CMB,2024-10-07 15:15:01+00:00,CWE-502 (反序列化),Medium,2024
FreedomIntelligence/CMB,2024-05-07 12:41:04+00:00,CWE-502 (反序列化),Medium,2024
FreedomIntelligence/Chain-of-Diagnosis,2025-01-17 19:36:05+00:00,CWE-287 (认证问题),Medium,2025
FreedomIntelligence/EchoX,2025-09-15 10:37:28+00:00,CWE-287 (认证问题),Medium,2025
FreedomIntelligence/HuatuoGPT,2023-10-27 19:24:43+00:00,CWE-502 (反序列化),High,2023
